PersonId,MetricDate,Language,Model,Usage count by language and model,PeopleHistoricalId
09a69926-8875-35d7-7735-6e4bef899d76,2026-02-22,python,gpt-5.5,10,09a69926-8875-35d7-7735-6e4bef899d761771718400
09a69926-8875-35d7-7735-6e4bef899d76,2026-02-22,python,claude-4.6-sonnet,7,09a69926-8875-35d7-7735-6e4bef899d761771718400
09a69926-8875-35d7-7735-6e4bef899d76,2026-02-22,python,gpt-5.4,6,09a69926-8875-35d7-7735-6e4bef899d761771718400
09a69926-8875-35d7-7735-6e4bef899d76,2026-02-22,typescript,gpt-5.5,3,09a69926-8875-35d7-7735-6e4bef899d761771718400
09a69926-8875-35d7-7735-6e4bef899d76,2026-02-22,typescript,claude-4.6-sonnet,2,09a69926-8875-35d7-7735-6e4bef899d761771718400
09a69926-8875-35d7-7735-6e4bef899d76,2026-02-22,typescript,gpt-5.4,1,09a69926-8875-35d7-7735-6e4bef899d761771718400
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-01,python,gpt-5.5,11,09a69926-8875-35d7-7735-6e4bef899d761772323200
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-01,python,claude-4.6-sonnet,8,09a69926-8875-35d7-7735-6e4bef899d761772323200
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-01,python,gpt-5.4,6,09a69926-8875-35d7-7735-6e4bef899d761772323200
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-01,typescript,gpt-5.5,2,09a69926-8875-35d7-7735-6e4bef899d761772323200
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-01,typescript,claude-4.6-sonnet,3,09a69926-8875-35d7-7735-6e4bef899d761772323200
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-15,python,gpt-5.5,10,09a69926-8875-35d7-7735-6e4bef899d761773532800
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-15,python,claude-4.6-sonnet,8,09a69926-8875-35d7-7735-6e4bef899d761773532800
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-15,python,gpt-5.4,4,09a69926-8875-35d7-7735-6e4bef899d761773532800
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-15,typescript,gpt-5.5,3,09a69926-8875-35d7-7735-6e4bef899d761773532800
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-15,typescript,claude-4.6-sonnet,2,09a69926-8875-35d7-7735-6e4bef899d761773532800
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-15,others,gpt-5.5,3,09a69926-8875-35d7-7735-6e4bef899d761773532800
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-15,others,claude-4.6-sonnet,1,09a69926-8875-35d7-7735-6e4bef899d761773532800
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-29,python,gpt-5.5,5,09a69926-8875-35d7-7735-6e4bef899d761774742400
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-29,python,claude-4.5-sonnet,5,09a69926-8875-35d7-7735-6e4bef899d761774742400
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-29,python,gpt-5.3-codex,4,09a69926-8875-35d7-7735-6e4bef899d761774742400
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-29,typescript,gpt-5.5,3,09a69926-8875-35d7-7735-6e4bef899d761774742400
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-29,others,gpt-5.5,4,09a69926-8875-35d7-7735-6e4bef899d761774742400
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-29,others,claude-4.5-sonnet,2,09a69926-8875-35d7-7735-6e4bef899d761774742400
09a69926-8875-35d7-7735-6e4bef899d76,2026-04-05,python,gpt-5.5,31,09a69926-8875-35d7-7735-6e4bef899d761775347200
09a69926-8875-35d7-7735-6e4bef899d76,2026-04-05,python,claude-4.5-sonnet,28,09a69926-8875-35d7-7735-6e4bef899d761775347200
09a69926-8875-35d7-7735-6e4bef899d76,2026-04-05,typescript,gpt-5.5,13,09a69926-8875-35d7-7735-6e4bef899d761775347200
