PersonId,MetricDate,Agent adoption,Code completions accepted,Code completions suggested,User-initiated chat requests,PeopleHistoricalId
09a69926-8875-35d7-7735-6e4bef899d76,2026-02-15,false,0,0,0,09a69926-8875-35d7-7735-6e4bef899d761771113600
09a69926-8875-35d7-7735-6e4bef899d76,2026-02-22,false,20,90,13,09a69926-8875-35d7-7735-6e4bef899d761771718400
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-01,false,21,81,12,09a69926-8875-35d7-7735-6e4bef899d761772323200
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-08,false,0,0,0,09a69926-8875-35d7-7735-6e4bef899d761772928000
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-15,false,17,91,14,09a69926-8875-35d7-7735-6e4bef899d761773532800
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-22,false,0,0,0,09a69926-8875-35d7-7735-6e4bef899d761774137600
09a69926-8875-35d7-7735-6e4bef899d76,2026-03-29,false,13,51,10,09a69926-8875-35d7-7735-6e4bef899d761774742400
09a69926-8875-35d7-7735-6e4bef899d76,2026-04-05,false,45,206,56,09a69926-8875-35d7-7735-6e4bef899d761775347200
09a69926-8875-35d7-7735-6e4bef899d76,2026-04-12,false,65,260,80,09a69926-8875-35d7-7735-6e4bef899d761775952000
09a69926-8875-35d7-7735-6e4bef899d76,2026-04-19,false,0,0,0,09a69926-8875-35d7-7735-6e4bef899d761776556800
09a69926-8875-35d7-7735-6e4bef899d76,2026-04-26,false,33,153,47,09a69926-8875-35d7-7735-6e4bef899d761777161600
09a69926-8875-35d7-7735-6e4bef899d76,2026-05-03,false,44,212,53,09a69926-8875-35d7-7735-6e4bef899d761777766400
09a69926-8875-35d7-7735-6e4bef899d76,2026-05-10,false,32,121,44,09a69926-8875-35d7-7735-6e4bef899d761778371200
09a69926-8875-35d7-7735-6e4bef899d76,2026-05-17,false,0,0,0,09a69926-8875-35d7-7735-6e4bef899d761778976000
09a69926-8875-35d7-7735-6e4bef899d76,2026-05-24,true,36,141,115,09a69926-8875-35d7-7735-6e4bef899d761779580800
09a69926-8875-35d7-7735-6e4bef899d76,2026-05-31,true,117,433,244,09a69926-8875-35d7-7735-6e4bef899d761780185600
09a69926-8875-35d7-7735-6e4bef899d76,2026-06-07,true,62,235,132,09a69926-8875-35d7-7735-6e4bef899d761780790400
09a69926-8875-35d7-7735-6e4bef899d76,2026-06-14,true,126,437,246,09a69926-8875-35d7-7735-6e4bef899d761781395200
09a69926-8875-35d7-7735-6e4bef899d76,2026-06-21,true,65,216,175,09a69926-8875-35d7-7735-6e4bef899d761782000000
09a69926-8875-35d7-7735-6e4bef899d76,2026-06-28,true,44,140,120,09a69926-8875-35d7-7735-6e4bef899d761782604800
09a69926-8875-35d7-7735-6e4bef899d76,2026-07-05,true,94,301,424,09a69926-8875-35d7-7735-6e4bef899d761783209600
09a69926-8875-35d7-7735-6e4bef899d76,2026-07-12,true,70,207,261,09a69926-8875-35d7-7735-6e4bef899d761783814400
09a69926-8875-35d7-7735-6e4bef899d76,2026-07-19,true,55,209,246,09a69926-8875-35d7-7735-6e4bef899d761784419200
09a69926-8875-35d7-7735-6e4bef899d76,2026-07-26,false,0,0,0,09a69926-8875-35d7-7735-6e4bef899d761785024000
09a69926-8875-35d7-7735-6e4bef899d76,2026-08-02,true,44,164,272,09a69926-8875-35d7-7735-6e4bef899d761785628800
09a69926-8875-35d7-7735-6e4bef899d76,2026-08-09,true,58,208,308,09a69926-8875-35d7-7735-6e4bef899d761786233600
0f25c15e-99da-3a22-b356-63b9277dc80f,2026-02-15,false,0,0,0,0f25c15e-99da-3a22-b356-63b9277dc80f1771113600
0f25c15e-99da-3a22-b356-63b9277dc80f,2026-02-22,false,20,70,13,0f25c15e-99da-3a22-b356-63b9277dc80f1771718400
0f25c15e-99da-3a22-b356-63b9277dc80f,2026-03-01,false,0,0,0,0f25c15e-99da-3a22-b356-63b9277dc80f1772323200
0f25c15e-99da-3a22-b356-63b9277dc80f,2026-03-08,false,18,76,14,0f25c15e-99da-3a22-b356-63b9277dc80f1772928000
0f25c15e-99da-3a22-b356-63b9277dc80f,2026-03-15,false,0,0,0,0f25c15e-99da-3a22-b356-63b9277dc80f1773532800
0f25c15e-99da-3a22-b356-63b9277dc80f,2026-03-22,false,0,0,0,0f25c15e-99da-3a22-b356-63b9277dc80f1774137600
0f25c15e-99da-3a22-b356-63b9277dc80f,2026-03-29,false,32,103,18,0f25c15e-99da-3a22-b356-63b9277dc80f1774742400
